标识,中文,英文,原始翻译,比较
gaiJiLu,该记录,This record,record please,0
qingQueRenShiFou,请确认是否要,Confirm to,please confirm that ,0
quXiao,取消,Cancel,cancel,1
queDing,确定,OK,confirm,0
qingXuanZe,请选择,Select,please select,0
xiaZaiCiYeMian,下载此页面到本地项目,Download this page to your local project,Download this page to ,0
qingShuRu,请输入,Enter,please key in ,0
jieShuShiJian,结束时间,End time,end time ,0
kaiShiShiJian,开始时间,Start time,start time ,0
xuanZeRiQi,选择日期,Select date,select a date,0
shaiXuanTiaoJian,筛选条件,Filter,filter term,0
shaiXuan,筛选,Filter,filter ,0
shangChuan,上传,Upload,upload,1
zuiDuoShangChuanL,(最多上传{val1}张),(Max uploads: {val1}),max upload for one picture,0
shangChuanTuPian,上传图片,Upload image,upload picture,0
jieShuYueFen,结束月份,End month,end month,1
kaiShiYueFen,开始月份,Start month,start month ,0
quZhong,去重,De-duplicate,remove duplicate,0
ge,个, ,a,0
gongJi,共计：,Total:,total:,1
zhangHao,账号,Account,account,1
daoChu,导出,Export,export,1
daoChuEXC,导出Excel,Export excel,export excel,1
fanHui,返回,Back,back,1
xinZeng,新增,Add,new,0
beiShu,倍数：,Multiplier:,multiple:,0
haoMa,号码：,Number:,number:,1
jieGuo,结果：,Result:,result:,1
weiZhi,位置：,Place:,place:,1
wanFa,玩法：,Play:,the way of playing:,0
weiZhi2,位置,Place,position,0
touZhuWeiZhi,投注位置,Betting place,betting place ,0
haoMa2,号码,Number,number,1
touZhuHaoMa,投注号码,Betting number,bet amount,0
wanFaPLA,玩法：{val1}，位置：{val2}，号码：{val3}，,"Play: {val1}, Place: {val2}, Number: {val3},","Play: {val1}, Position: {val2}, Number: {val3},",0
touZhu,投注:,Bet:,bet,0
touZhuXiang,投注项：,Betting items:,the way of bet,0
zhuang,庄,Dealer,banker,0
zhuangXian,庄闲,Dealer & Player,banker player,0
gang,港,HK,hk,1
xiangGang,香港,Hong Kong,Hong kong,1
ou,欧,Europe,euro,0
ouZhou,欧洲,Europe,europe,1
quanXuan,全选,Select all,choose all,0
souSuo,搜索,Search,search,1
tuoZhuaiTuPianHuo,拖拽图片、或点击图片上传,Drag and drop or click the image to upload.,"Drag and drop the picture, or click the picture to upload",0
zhiChiTuPianGe,2、支持图片格式为PNG/JPG,2. Only PNG/JPG formats are accepted.,2、support image format as PNG/JPG,0
shangChuanWenJianDa,1、上传文件大小限制为20M,1. Maximum image size: 20M,1、upload file size maximum 20M ,0
zhuYi,注意：,Note:,attention,0
tuPianShuLiangChao,图片数量超出限制，最多上传5张,Number of images exceeds the upper limit of 5.,"the number of pictures exceeds the limit, please upload up to 5 pictures",0
iNFOF,{val1} 移除成功.,{val1} removed.,{val1} delete successful,0
iNFOF2,{val1} 上传失败.,{val1} upload failed.,{val1} upload failed,0
iNFOF3,{val1} 上传成功.,{val1} uploaded.,{val1} upload successful,0
gangWei,岗位,Job,position ,0
xiaZaiLieBiaoE,下载列表({val1}),Download list ({val1}),download lisiting({val1}),0
quanBuQingChu,全部清除,Clear all,delete all,0
xiaZaiLieBiao,下载列表,Download list,download listing,0
shanChu,删除,Delete,delete,1
xiaZai,下载,Download,download,1
caoZuo,status,status,create,0
zhuangTai,状态,Status,condition,0
chuangJianRiQi,创建日期,Created on,date created,0
wenJianMing,文件名,File name,file name,1
xuHao,序号,Serial number,serial number,1
ziXiTongDaoHang,子系统导航,Subsystem navigation,subsystem navigation,1
huiYuanZhangHaoShou,会员账号/手机,Member account/mobile,member aacount/handphone,0
gaiYongHuBuCun,该用户不存在,This user does not exist.,this account not available ,0
guanBiSuoYou,关闭所有,Close all,close all,1
guanBiQiTa,关闭其他,Close others,close other,0
guanBi,关闭,Close,close,1
qingShuRuXinMi,请输入新密码,Enter the new password.,please fill in the new password ,0
xinMiMa,新密码,New password,new password ,0
qingShuRuJiuMi,请输入旧密码,Enter the old password.,please fill in the old password ,0
jiuMiMa,旧密码,Old password,old password,1
qingShuRuZhangHu,请输入账户名,Enter an account name.,please fill in your account ,0
zhangHuMing,账户名,Account name,account,0
xiuGaiMiMa,修改密码,Change password,change password,1
gongXiNiCaoZuo,恭喜你，操作成功！,Congratulations. The operation is successful.,"congratulations, create successful",0
tiXianZiJinYu,提现资金预警：,Withdrawal fund warning:,withdrawal warning,0
tiXianZiJinDi,提现资金低额预警,The amount you want to withdrawl is too small.,withdrawal of low funds warning,0
tiShi,提示,Note,prompt,0
tiXianZiJinGao,提现资金高额预警,The amount you want to withdrawl is too large.,withdrawal of high funds warning,0
chongZhiZiJinDi,充值资金低额预警,The amount you want to top up is too small.,deposit of low funds warning,0
chongZhiZiJinGao,充值资金高额预警,The amount you want to top up is too large.,deposit of high funds warning,0
zhongZhi,重置,Reset,reset,1
chaXun,查询,Query,inquiry,0
qinNinZanShiMei,亲， 您暂时没有任何子管理系统的权限噢 �,"Sorry, you have no access to any sub-management system. �","Dear, you don't have any permissions for the sub-management system at the moment ",0
caoZuoShiBai,操作失败,Operation failed,apply failed,0
shenHeWanCheng,审核完成,Review completed,audit successful,0
GB,��,��,,0
HK,��,��,,0
CN,��,��,,0
BR,��,��,,0
fanTiZhongWen,繁体中文,Traditional Chinese,traditional chinese,1
jianTiZhongWen,简体中文,Simplified Chinese,simplified  chinese,0
lingQuJiangLiJin,领取奖励金额,Collect bonus,collect your bonus,0
leiJiYouXiaoTou,累计有效投注额,Accumulated valid bet amount,accumulated valid bet amount,1
lingQuJiangLiShi,领取奖励时间,Bonus collection time,reward time,0
jiangPin,奖品,Prize,prize,1
